,Industrials_Fund_Value
2020-03-15,10986.360443115234
2020-03-16,10986.360443115234
2020-03-17,10748.760040283203
2020-03-18,9185.879516601562
2020-03-19,10257.71987915039
2020-03-20,9253.199798583984
2020-03-21,9357.479919433594
2020-03-22,9357.479919433594
2020-03-23,9357.479919433594
2020-03-24,11432.520080566406
2020-03-25,12301.080322265625
2020-03-26,13091.760040283203
2020-03-27,11899.800201416016
2020-03-28,12561.120483398438
2020-03-29,12561.120483398438
2020-03-30,12561.120483398438
2020-03-31,13582.800201416016
2020-04-01,12669.360443115234
2020-04-02,12693.120483398438
2020-04-03,12021.239959716797
2020-04-04,13619.760040283203
2020-04-05,13619.760040283203
2020-04-06,13619.760040283203
2020-04-07,14246.760040283203
2020-04-08,14736.479919433594
2020-04-09,14217.71987915039
2020-04-10,13696.320281982422
2020-04-11,13696.320281982422
2020-04-12,13696.320281982422
2020-04-13,13696.320281982422
2020-04-14,14340.479919433594
2020-04-15,13700.28012084961
2020-04-16,13008.600402832031
2020-04-17,13866.600402832031
2020-04-18,13279.199798583984
2020-04-19,13279.199798583984
2020-04-20,13279.199798583984
2020-04-21,12892.439758300781
2020-04-22,13281.840362548828
2020-04-23,13692.360443115234
2020-04-24,13998.600402832031
2020-04-25,14655.959838867188
2020-04-26,14655.959838867188
2020-04-27,14655.959838867188
2020-04-28,15384.600402832031
2020-04-29,16893.360443115234
2020-04-30,16962.0
2020-05-01,15744.959838867188
2020-05-02,15411.0
2020-05-03,15411.0
2020-05-04,15411.0
2020-05-05,15030.840362548828
2020-05-06,14626.919677734375
2020-05-07,14880.360443115234
2020-05-08,15784.560241699219
2020-05-09,15380.639556884766
2020-05-10,15380.639556884766
2020-05-11,15380.639556884766
2020-05-12,14543.760040283203
2020-05-13,14357.639556884766
2020-05-14,15319.919677734375
2020-05-15,15651.239959716797
2020-05-16,17071.56024169922
2020-05-17,17071.56024169922
2020-05-18,17071.56024169922
2020-05-19,16467.0
2020-05-20,16898.640563964844
2020-05-21,16859.040161132812
2020-05-22,17233.919677734375
2020-05-23,18106.43975830078
2020-05-24,18106.43975830078
2020-05-25,18106.43975830078
2020-05-26,18106.43975830078
2020-05-27,18543.359436035156
2020-05-28,18165.83935546875
2020-05-29,18333.479919433594
2020-05-30,18474.72088623047
2020-05-31,18474.72088623047
2020-06-01,18474.72088623047
2020-06-02,18893.16064453125
2020-06-03,19772.27911376953
2020-06-04,19982.16064453125
2020-06-05,21299.520080566406
2020-06-06,20892.959838867188
2020-06-07,20892.959838867188
2020-06-08,20892.959838867188
2020-06-09,20889.0
2020-06-10,20539.200805664062
2020-06-11,18750.60040283203
2020-06-12,18940.680725097656
2020-06-13,19409.27911376953
2020-06-14,19409.27911376953
2020-06-15,19409.27911376953
2020-06-16,20894.27911376953
2020-06-17,20533.919677734375
2020-06-18,20302.919677734375
2020-06-19,20527.319274902344
2020-06-20,20738.520080566406
2020-06-21,20738.520080566406
2020-06-22,20738.520080566406
2020-06-23,20325.359436035156
2020-06-24,18800.759033203125
2020-06-25,19052.879516601562
2020-06-26,18532.799194335938
2020-06-27,19499.040161132812
2020-06-28,19499.040161132812
2020-06-29,19499.040161132812
2020-06-30,19673.27911376953
2020-07-01,19245.60040283203
2020-07-02,19524.120483398438
2020-07-03,19897.680725097656
2020-07-04,19897.680725097656
2020-07-05,19897.680725097656
