,Consumer_Fund_Value
2021-07-08,9212.099990844727
2021-07-09,9453.000274658203
2021-07-10,9428.860122680664
2021-07-11,9428.860122680664
2021-07-12,9428.860122680664
2021-07-13,9379.600128173828
2021-07-14,9404.880432128906
2021-07-15,9412.919830322266
2021-07-16,9280.700149536133
2021-07-17,9312.299926757812
2021-07-18,9312.299926757812
2021-07-19,9312.299926757812
2021-07-20,9631.800064086914
2021-07-21,9656.540237426758
2021-07-22,9476.98014831543
2021-07-23,9533.380004882812
2021-07-24,9571.970138549805
2021-07-25,9571.970138549805
2021-07-26,9571.970138549805
2021-07-27,9415.380325317383
2021-07-28,9434.759750366211
2021-07-29,9568.060165405273
2021-07-30,9602.919937133789
2021-07-31,9505.720108032227
2021-08-01,9505.720108032227
2021-08-02,9505.720108032227
2021-08-03,9615.180145263672
2021-08-04,9276.399780273438
2021-08-05,9256.099914550781
2021-08-06,9286.599914550781
2021-08-07,9438.08023071289
2021-08-08,9438.08023071289
2021-08-09,9438.08023071289
2021-08-10,9550.280303955078
2021-08-11,9619.959838867188
2021-08-12,9106.520278930664
2021-08-13,9134.739822387695
2021-08-14,8976.220108032227
2021-08-15,8976.220108032227
2021-08-16,8976.220108032227
2021-08-17,8983.860046386719
2021-08-18,8960.440353393555
2021-08-19,8874.720108032227
2021-08-20,8857.63980102539
2021-08-21,8940.359817504883
2021-08-22,8940.359817504883
2021-08-23,8940.359817504883
2021-08-24,8908.680068969727
2021-08-25,9056.760070800781
2021-08-26,8639.559982299805
2021-08-27,8277.480239868164
2021-08-28,8592.13998413086
2021-08-29,8592.13998413086
2021-08-30,8592.13998413086
2021-08-31,8290.759719848633
2021-09-01,8348.179626464844
2021-09-02,8395.180068969727
2021-09-03,8305.219970703125
2021-09-04,8240.160217285156
2021-09-05,8240.160217285156
2021-09-06,8240.160217285156
2021-09-07,8240.160217285156
2021-09-08,8214.68017578125
2021-09-09,8208.699935913086
2021-09-10,30513.71905517578
2021-09-11,30620.840560913086
2021-09-12,30620.840560913086
2021-09-13,30620.840560913086
2021-09-14,30572.980407714844
2021-09-15,30557.69955444336
2021-09-16,30692.54037475586
2021-09-17,30483.06071472168
2021-09-18,30011.99964904785
2021-09-19,30011.99964904785
2021-09-20,30011.99964904785
2021-09-21,29990.519821166992
2021-09-22,30322.52017211914
2021-09-23,30550.419799804688
2021-09-24,30579.399787902832
2021-09-25,30815.34017944336
2021-09-26,30815.34017944336
2021-09-27,30815.34017944336
2021-09-28,30487.16062927246
2021-09-29,30453.63998413086
2021-09-30,29806.18002319336
2021-10-01,29972.91929626465
2021-10-02,29961.420013427734
2021-10-03,29961.420013427734
2021-10-04,29961.420013427734
2021-10-05,30166.16024017334
2021-10-06,30337.600593566895
2021-10-07,30674.22075653076
2021-10-08,30452.69955444336
2021-10-09,30338.840141296387
2021-10-10,30338.840141296387
2021-10-11,30338.840141296387
2021-10-12,30146.32048034668
2021-10-13,30161.759384155273
2021-10-14,30584.220306396484
2021-10-15,30448.160064697266
2021-10-16,30478.839645385742
2021-10-17,30478.839645385742
2021-10-18,30478.839645385742
2021-10-19,30576.72038269043
2021-10-20,30370.679901123047
2021-10-21,30534.979232788086
2021-10-22,30314.340255737305
2021-10-23,30252.139907836914
2021-10-24,30252.139907836914
2021-10-25,30252.139907836914
2021-10-26,30190.499481201172
2021-10-27,30677.159591674805
2021-10-28,31103.740036010742
2021-10-29,30963.820587158203
2021-10-30,31734.939834594727
2021-10-31,31734.939834594727
2021-11-01,31734.939834594727
2021-11-02,31654.420471191406
2021-11-03,31977.219345092773
2021-11-04,31979.600692749023
2021-11-05,32314.280975341797
2021-11-06,32068.340377807617
2021-11-07,32068.340377807617
2021-11-08,32068.340377807617
2021-11-09,31905.679763793945
2021-11-10,31766.160400390625
2021-11-11,31398.30047607422
2021-11-12,31422.740142822266
2021-11-13,31801.439971923828
2021-11-14,31801.439971923828
2021-11-15,31801.439971923828
2021-11-16,31871.740356445312
2021-11-17,31833.980041503906
2021-11-18,31688.719787597656
2021-11-19,31450.579879760742
2021-11-20,31863.85971069336
2021-11-21,31863.85971069336
2021-11-22,31863.85971069336
2021-11-23,31828.15951538086
2021-11-24,31910.418670654297
2021-11-25,31214.89973449707
2021-11-26,31214.89973449707
2021-11-27,31397.880294799805
2021-11-28,31397.880294799805
2021-11-29,31397.880294799805
2021-11-30,30639.100677490234
2021-12-01,30553.67938232422
2021-12-02,31169.960388183594
2021-12-03,30298.24033355713
2021-12-04,31196.8995513916
2021-12-05,31196.8995513916
2021-12-06,31196.8995513916
2021-12-07,31490.800170898438
2021-12-08,31440.478881835938
2021-12-09,41261.69960784912
2021-12-10,40900.66020202637
2021-12-11,40434.559661865234
2021-12-12,40434.559661865234
2021-12-13,40434.559661865234
2021-12-14,40107.41915893555
