,TMT_Fund_Value
2020-12-07,44786.60859680176
2020-12-08,45146.08885192871
2020-12-09,44266.20063781738
2020-12-10,43998.680892944336
2020-12-11,44571.33885192871
2020-12-12,44767.79936218262
2020-12-13,44767.79936218262
2020-12-14,44767.79936218262
2020-12-15,44753.17102050781
2020-12-16,45829.51974487305
2020-12-17,45858.77961730957
2020-12-18,45685.30923461914
2020-12-19,46521.30923461914
2020-12-20,46521.30923461914
2020-12-21,46521.30923461914
2020-12-22,46803.460510253906
2020-12-23,46193.180892944336
2020-12-24,46554.75
2020-12-25,47016.64140319824
2020-12-26,47016.64140319824
2020-12-27,47016.64140319824
2020-12-28,47016.64140319824
2020-12-29,46847.348724365234
2020-12-30,46331.11846923828
2020-12-31,46485.77961730957
2021-01-01,45497.210510253906
2021-01-02,45497.210510253906
2021-01-03,45497.210510253906
2021-01-04,45497.210510253906
2021-01-05,45541.098724365234
2021-01-06,44360.25
2021-01-07,45622.60859680176
2021-01-08,45900.57897949219
2021-01-09,45455.41114807129
2021-01-10,45455.41114807129
2021-01-11,45455.41114807129
2021-01-12,44920.36846923828
2021-01-13,45215.05923461914
2021-01-14,44521.180892944336
2021-01-15,44443.848724365234
2021-01-16,45235.960510253906
2021-01-17,45235.960510253906
2021-01-18,45235.960510253906
2021-01-19,45235.960510253906
2021-01-20,46887.05923461914
2021-01-21,47018.73025512695
2021-01-22,47223.54936218262
2021-01-23,47971.76974487305
2021-01-24,47971.76974487305
2021-01-25,47971.76974487305
2021-01-26,48556.97038269043
2021-01-27,48676.098724365234
2021-01-28,49936.36846923828
2021-01-29,48479.64140319824
2021-01-30,50086.848724365234
2021-01-31,50086.848724365234
2021-02-01,50086.848724365234
2021-02-02,50057.58885192871
2021-02-03,50787.0
2021-02-04,50580.08885192871
2021-02-05,50619.79936218262
2021-02-06,50676.23025512695
2021-02-07,50676.23025512695
2021-02-08,50676.23025512695
2021-02-09,50947.930892944336
2021-02-10,50749.38153076172
2021-02-11,51098.41114807129
2021-02-12,51202.91114807129
2021-02-13,50933.29936218262
2021-02-14,50933.29936218262
2021-02-15,50933.29936218262
2021-02-16,50933.29936218262
2021-02-17,51037.79936218262
2021-02-18,50952.10859680176
2021-02-19,50362.73025512695
2021-02-20,49012.58885192871
2021-02-21,49012.58885192871
2021-02-22,49012.58885192871
2021-02-23,48753.430892944336
2021-02-24,49020.95063781738
2021-02-25,47858.91114807129
2021-02-26,48567.42102050781
2021-02-27,49520.460510253906
2021-02-28,49520.460510253906
2021-03-01,49520.460510253906
2021-03-02,48878.82897949219
2021-03-03,47560.039489746094
2021-03-04,47386.569107055664
2021-03-05,48404.401275634766
2021-03-06,47524.50987243652
2021-03-07,47524.50987243652
2021-03-08,47524.50987243652
2021-03-09,48860.01974487305
2021-03-10,48575.77961730957
2021-03-11,49560.17102050781
2021-03-12,49271.75
2021-03-13,49075.289489746094
2021-03-14,49075.289489746094
2021-03-15,49075.289489746094
2021-03-16,49681.39140319824
2021-03-17,49541.35859680176
2021-03-18,48220.48025512695
2021-03-19,48143.151275634766
2021-03-20,49321.91114807129
2021-03-21,49321.91114807129
2021-03-22,49321.91114807129
2021-03-23,49654.22038269043
2021-03-24,49211.14140319824
2021-03-25,48559.05923461914
2021-03-26,49424.319107055664
2021-03-27,49165.16114807129
2021-03-28,49165.16114807129
2021-03-29,49165.16114807129
2021-03-30,48456.651275634766
2021-03-31,49275.930892944336
2021-04-01,50651.151275634766
2021-04-02,52055.63153076172
2021-04-03,52055.63153076172
2021-04-04,52055.63153076172
2021-04-05,52055.63153076172
2021-04-06,51802.74012756348
2021-04-07,52229.098724365234
2021-04-08,52929.25
2021-04-09,53472.651275634766
2021-04-10,53485.19076538086
2021-04-11,53485.19076538086
2021-04-12,53485.19076538086
2021-04-13,54024.407958984375
2021-04-14,53418.30923461914
2021-04-15,54235.5
2021-04-16,54494.657958984375
2021-04-17,54076.657958984375
2021-04-18,54076.657958984375
2021-04-19,54076.657958984375
2021-04-20,53976.342041015625
2021-04-21,54461.217193603516
2021-04-22,53748.532806396484
2021-04-23,54580.348724365234
2021-04-24,54663.94744873047
2021-04-25,54663.94744873047
2021-04-26,54663.94744873047
2021-04-27,54751.73025512695
2021-04-28,53203.039489746094
2021-04-29,52774.58885192871
2021-04-30,52705.61846923828
2021-05-01,52638.74012756348
2021-05-02,52638.74012756348
2021-05-03,52638.74012756348
2021-05-04,51788.10859680176
2021-05-05,51512.23025512695
2021-05-06,52193.569107055664
2021-05-07,52764.14140319824
2021-05-08,51660.61846923828
2021-05-09,51660.61846923828
2021-05-10,51660.61846923828
2021-05-11,51462.069107055664
2021-05-12,49951.0
2021-05-13,50793.26974487305
2021-05-14,51863.348724365234
2021-05-15,51242.61846923828
2021-05-16,51242.61846923828
2021-05-17,51242.61846923828
2021-05-18,50803.72038269043
2021-05-19,50812.07897949219
2021-05-20,51514.319107055664
2021-05-21,51240.52961730957
2021-05-22,52413.01974487305
2021-05-23,52413.01974487305
2021-05-24,52413.01974487305
2021-05-25,52609.48025512695
2021-05-26,52561.41114807129
2021-05-27,64190.98955154419
2021-05-28,64495.91881942749
2021-05-29,64079.898723602295
2021-05-30,64079.898723602295
2021-05-31,64079.898723602295
2021-06-01,64079.898723602295
2021-06-02,64262.00045776367
2021-06-03,64016.29118347168
2021-06-04,65323.90870285034
2021-06-05,66003.88943481445
2021-06-06,66003.88943481445
2021-06-07,66003.88943481445
2021-06-08,65644.93182373047
2021-06-09,65786.10961532593
2021-06-10,66438.15788269043
