,Energy_Fund_Value
2020-02-14,14234.38060760498
2020-02-15,14227.570205688477
2020-02-16,14227.570205688477
2020-02-17,14227.570205688477
2020-02-18,14227.570205688477
2020-02-19,14159.63981628418
2020-02-20,14239.669654846191
2020-02-21,14133.189453125
2020-02-22,13760.530128479004
2020-02-23,13760.530128479004
2020-02-24,13760.530128479004
2020-02-25,13424.460372924805
2020-02-26,13277.95987701416
2020-02-27,12498.31021118164
2020-02-28,12348.940063476562
2020-02-29,12683.239555358887
2020-03-01,12683.239555358887
2020-03-02,12683.239555358887
2020-03-03,12547.61018371582
2020-03-04,13069.820190429688
2020-03-05,12621.229995727539
2020-03-06,11915.359703063965
2020-03-07,9113.179946899414
2020-03-08,9113.179946899414
2020-03-09,9113.179946899414
2020-03-10,9228.650146484375
2020-03-11,8701.149738311768
2020-03-12,7187.309768676758
2020-03-13,7515.959856033325
2020-03-14,6186.610139846802
2020-03-15,6186.610139846802
2020-03-16,6186.610139846802
2020-03-17,6271.889860153198
2020-03-18,5863.350054740906
2020-03-19,6246.549978256226
2020-03-20,6248.169981002808
2020-03-21,5879.0599575042725
2020-03-22,5879.0599575042725
2020-03-23,5879.0599575042725
2020-03-24,6568.039875030518
2020-03-25,7098.309913635254
2020-03-26,7628.9999923706055
2020-03-27,7197.889932632446
2020-03-28,7063.3699951171875
2020-03-29,7063.3699951171875
2020-03-30,7063.3699951171875
2020-03-31,6930.519857406616
2020-04-01,6283.530033111572
2020-04-02,6624.030012130737
2020-04-03,6539.839889526367
2020-04-04,7120.070032119751
2020-04-05,7120.070032119751
2020-04-06,7120.070032119751
2020-04-07,7323.409986495972
2020-04-08,7760.900203704834
2020-04-09,8310.789911270142
2020-04-10,8236.040079116821
2020-04-11,8236.040079116821
2020-04-12,8236.040079116821
2020-04-13,8236.040079116821
2020-04-14,8395.639947891235
2020-04-15,7828.880077362061
2020-04-16,7574.929931640625
2020-04-17,8142.020025253296
2020-04-18,7950.459899902344
2020-04-19,7950.459899902344
2020-04-20,7950.459899902344
2020-04-21,7686.959884643555
2020-04-22,7911.8301067352295
2020-04-23,8170.500072479248
2020-04-24,8087.410037994385
2020-04-25,8247.800174713135
2020-04-26,8247.800174713135
2020-04-27,8247.800174713135
2020-04-28,8359.630025863647
2020-04-29,8509.340085983276
2020-04-30,8168.899963378906
2020-05-01,7811.290063858032
2020-05-02,8110.210168838501
2020-05-03,8110.210168838501
2020-05-04,8110.210168838501
2020-05-05,8184.810081481934
2020-05-06,7968.609819412231
2020-05-07,8146.6401443481445
2020-05-08,8318.24013710022
2020-05-09,8347.500051498413
2020-05-10,8347.500051498413
2020-05-11,8347.500051498413
2020-05-12,8349.069843292236
2020-05-13,7980.349956512451
2020-05-14,8092.069755554199
2020-05-15,8202.649810791016
2020-05-16,8663.6499710083
2020-05-17,8663.6499710083
2020-05-18,8663.6499710083
2020-05-19,8757.749992370605
2020-05-20,8741.969814300537
2020-05-21,8628.3401222229
2020-05-22,8762.82996749878
2020-05-23,8958.790042877197
2020-05-24,8958.790042877197
2020-05-25,8958.790042877197
2020-05-26,8958.790042877197
2020-05-27,8942.699920654297
2020-05-28,9019.369857788086
2020-05-29,8916.879764556885
2020-05-30,9173.310256958008
2020-05-31,9173.310256958008
2020-06-01,9173.310256958008
2020-06-02,9368.610416412354
2020-06-03,9513.900436401367
2020-06-04,9405.419624328613
2020-06-05,10061.219566345215
2020-06-06,10359.769798278809
2020-06-07,10359.769798278809
2020-06-08,10359.769798278809
2020-06-09,9825.129764556885
2020-06-10,9516.179851531982
2020-06-11,8665.99031829834
2020-06-12,8572.700145721436
2020-06-13,8847.549869537354
2020-06-14,8847.549869537354
2020-06-15,8847.549869537354
2020-06-16,8995.480171203613
2020-06-17,8775.459747314453
2020-06-18,8809.329750061035
2020-06-19,8382.899826049805
2020-06-20,8548.749694824219
2020-06-21,8548.749694824219
2020-06-22,8548.749694824219
2020-06-23,8496.840202331543
2020-06-24,8230.219966888428
2020-06-25,8151.260059356689
2020-06-26,7769.179975509644
2020-06-27,8101.110067367554
2020-06-28,8101.110067367554
2020-06-29,8101.110067367554
2020-06-30,8196.790260314941
2020-07-01,8275.149963378906
2020-07-02,8254.670249938965
2020-07-03,7866.899955749512
2020-07-04,7866.899955749512
2020-07-05,7866.899955749512
2020-07-06,7866.899955749512
2020-07-07,7683.780084609985
2020-07-08,7640.950057983398
2020-07-09,7484.720003128052
2020-07-10,7662.709856033325
2020-07-11,7693.359935760498
2020-07-12,7693.359935760498
2020-07-13,7693.359935760498
2020-07-14,7825.019777297974
2020-07-15,8034.300058364868
2020-07-16,8013.839918136597
2020-07-17,8090.909994125366
2020-07-18,7956.410118103027
2020-07-19,7956.410118103027
2020-07-20,7956.410118103027
2020-07-21,8235.139904022217
2020-07-22,8301.339881896973
2020-07-23,8226.8197555542
2020-07-24,8130.060052871704
2020-07-25,7950.040187835693
2020-07-26,7950.040187835693
2020-07-27,7950.040187835693
2020-07-28,8025.650014877319
2020-07-29,8198.830026626587
2020-07-30,8080.050086975098
2020-07-31,8003.229946136475
2020-08-01,8005.120119094849
2020-08-02,8005.120119094849
2020-08-03,8005.120119094849
2020-08-04,8148.909906387329
2020-08-05,8358.839925765991
2020-08-06,8278.049926757812
2020-08-07,8385.349672317505
2020-08-08,8614.410249710083
2020-08-09,8614.410249710083
2020-08-10,8614.410249710083
2020-08-11,8490.58009147644
2020-08-12,8614.470155715942
2020-08-13,8527.33010673523
2020-08-14,8472.819952011108
2020-08-15,8329.339641571045
2020-08-16,8329.339641571045
2020-08-17,8329.339641571045
2020-08-18,8230.080018997192
2020-08-19,8160.160110473633
2020-08-20,8044.709980010986
2020-08-21,7949.240064620972
2020-08-22,8066.610139846802
2020-08-23,8066.610139846802
2020-08-24,8066.610139846802
2020-08-25,7986.630113601685
2020-08-26,7783.819791793823
2020-08-27,7883.1699295043945
2020-08-28,7927.359979629517
2020-08-29,7927.550022125244
2020-08-30,7927.550022125244
2020-08-31,7927.550022125244
2020-09-01,7835.999963760376
2020-09-02,7950.100080490112
2020-09-03,7833.410037994385
2020-09-04,7740.469995498657
2020-09-05,7605.119806289673
2020-09-06,7605.119806289673
2020-09-07,7605.119806289673
2020-09-08,7605.119806289673
2020-09-09,7716.449825286865
2020-09-10,7552.010183334351
2020-09-11,7567.700145721436
2020-09-12,7716.949993133545
2020-09-13,7716.949993133545
2020-09-14,7716.949993133545
2020-09-15,7555.63996887207
2020-09-16,7862.769813537598
2020-09-17,7867.140012741089
2020-09-18,7775.440231323242
2020-09-19,7528.180208206177
2020-09-20,7528.180208206177
2020-09-21,7528.180208206177
2020-09-22,7557.800138473511
2020-09-23,7254.800086975098
2020-09-24,7302.419864654541
2020-09-25,7433.180047988892
2020-09-26,7489.479982376099
2020-09-27,7489.479982376099
2020-09-28,7489.479982376099
2020-09-29,7529.390020370483
2020-09-30,7557.579982757568
2020-10-01,7523.2399253845215
2020-10-02,7701.850065231323
2020-10-03,7859.059913635254
2020-10-04,7859.059913635254
